"compensation_id","incident_id","passenger_id","amount","status"
1,1,1,"500000.00","Paid"
2,1,2,"500000.00","Paid"
3,1,3,"500000.00","Pending"
4,1,4,"500000.00","Pending"
5,2,5,"10000.00","Paid"
6,3,6,"15000.00","Paid"
7,4,7,"20000.00","Paid"
8,5,8,"10000.00","Paid"
9,6,9,"50000.00","Paid"
10,7,10,"75000.00","Paid"
11,8,11,"5000.00","Paid"
12,9,12,"12000.00","Paid"
13,10,13,"30000.00","Paid"
14,11,14,"25000.00","Paid"
15,12,15,"8000.00","Paid"
16,13,16,"20000.00","Paid"
17,14,17,"18000.00","Paid"
18,15,18,"22000.00","Paid"
19,16,19,"27000.00","Paid"
20,17,20,"24000.00","Paid"
21,18,21,"16000.00","Paid"
22,19,22,"35000.00","Paid"
23,20,23,"30000.00","Paid"
24,21,24,"40000.00","Pending"
25,22,25,"12000.00","Paid"
26,23,26,"10000.00","Paid"
27,24,27,"15000.00","Paid"
28,25,28,"20000.00","Paid"
29,26,29,"8000.00","Paid"
30,27,30,"9000.00","Paid"
